,,,,"    Menu Mix Category Detail 
 Summary",,,,,,,,,
All Stores,,,,,,,,,,,,,
Report Range: 9/26/2022 - 10/2/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Qty.,,Item Sales,,,,,
,,,,,,,,,,,,,
,Appetizers,,,,,,,,,,,,
,95501,MARTINI,,,,1.00,,$2.00,,,,,
,95503,COSMO,,,,1.00,,$2.00,,,,,
,95506,GIBSON,,,,1.00,,$2.00,,,,,
,95509,SEA BREEZE,,,,1.00,,$2.00,,,,,
,95703,GIMLET,,,,1.00,,$2.00,,,,,
,95803,MOJITO,,,,1.00,,$1.50,,,,,
,95901,TEQUILA SUNRISE,,,,1.00,,$0.00,,,,,
,95036,Egg White,,,,0.00,,$0.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Liquor Total:,,,,,,,,,,,,
,,,,,641.00,,,"$5,396.50",,,,,
,,,,,,,,,,,,,
,Soups/Salads,,,,,,,,,,,,
,12002,Santa Fe Salad,,,,27.00,,$270.00,,,,,
,12001,Caesar Salad,,,,15.00,,$135.00,,,,,
,12005,Summer Salad,,,,13.00,,$156.00,,,,,
,12006,Half Caesar,,,,1.00,,$4.00,,,,,
,12007,Half Santa Fe,,,,1.00,,$4.00,,,,,
,Soups/Salads Total:,,,,,,,,,,,,
,,,,,57.00,,,$569.00,,,,,
,,,,,,,,,,,,,
,Tacos,,,,,,,,,,,,
,13002,Steak Taco,,,,109.00,,$413.00,,,,,
,13004,Chicken Taco,,,,81.00,,$308.00,,,,,
,13011,Stk Taco Plate,,,,57.00,,$912.00,,,,,
,13006,Mahi Taco,,,,51.00,,$193.00,,,,,
,13005,Carnitas Taco,,,,46.00,,$180.00,,,,,
,13008,Mahi Taco Plate,,,,34.00,,$544.00,,,,,
,13003,Chorizo Taco,,,,25.00,,$98.00,,,,,
,13007,Veggie Taco,,,,21.00,,$80.00,,,,,
,13010,Chicken Chalupa,,,,21.00,,$294.00,,,,,
,13009,Chor Taco Plate,,,,15.00,,$225.00,,,,,
,Tacos Total:,,,,,,,,,,,,
,,,,,460.00,,,"$3,247.00",,,,,
,,,,,,,,,,,,,
,Wine,,,,,,,,,,,,
,71100,GLASS,,,,43.00,,$0.00,,,,,
,69018,Mimosa,,,,10.00,,$50.00,,,,,
,71101,NO GLASS,,,,9.00,,$0.00,,,,,
,69021,Sangria,,,,7.00,,$49.00,,,,,
,70015,GL ConSur Char,,,,3.00,,$24.00,,,,,
,150,Open Wine,,,,1.00,,$8.00,,,,,
,70017,GL Spoke W PN,,,,1.00,,$8.00,,,,,
,70019,GL Sierra Gran,,,,1.00,,$8.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Wine Total:,,,,,,,,,,,,
,,,,,75.00,,,$147.00,,,,,
,,,,,,,,,,,,,
,Grand Total:,,,,,,,,,,,,
,,,,,,"2,975.00",,"$26,097.50",,,,,
