Menu Mix Item Sales,,,,,,,,
,,,,,,,,
,,,,,,,,
 ,,,,,,,,
  ID,Short Name,Chit Name,,Central Mesa,,,,
0.00 61111,***DBL GIN***,***DBL GIN***,,0.00,,,,
0.00 61201,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61202,R-Well Gin,R-Well Gin,,0.00,,,,
0.00 61203,R-Sapphire,R-Sapphire,,0.00,,,,
0.00 61204,R-Hendrick's,R-Hendrick's,,0.00,,,,
0.00 61205,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61206,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61207,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61208,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61209,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61210,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 61211,***RX GIN***,***RX GIN***,,0.00,,,,
0.00 62000,***RUM***,***RUM***,,0.00,,,,
0.00 62001,Well Rum,Well Rum,,0.00,,,,
0.00 62002,Bacardi,Bacardi,,0.00,,,,
0.00 62003,Captain,Captain,,0.00,,,,
0.00 62004,Kraken,Kraken,,0.00,,,,
0.00 62005,***RUM***,***RUM***,,0.00,,,,
0.00 62006,***RUM***,***RUM***,,0.00,,,,
0.00 62007,***RUM***,***RUM***,,0.00,,,,
0.00 62008,***RUM***,***RUM***,,0.00,,,,
0.00 62009,***RUM***,***RUM***,,0.00,,,,
0.00 62010,***RUM***,***RUM***,,0.00,,,,
0.00 62101,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62102,D-Well Rum,D-Well Rum,,0.00,,,,
0.00 62103,D-Bacardi,D-Bacardi,,0.00,,,,
0.00 62104,D-Captain,D-Captain,,0.00,,,,
0.00 62105,Dbl Kraken,Dbl Kraken,,0.00,,,,
0.00 62106,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62107,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62108,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62109,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62110,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62111,***DBL RUM***,***DBL RUM***,,0.00,,,,
0.00 62201,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 62202,R-Well Rum,R-Well Rum,,0.00,,,,
0.00 62203,R-Bacardi,R-Bacardi,,0.00,,,,
0.00 62204,R-Captain,R-Captain,,0.00,,,,
0.00 62205,Rocks Kraken,Rocks Kraken,,0.00,,,,
0.00 62206,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 62207,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 62208,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 62209,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 62210,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 62211,***RXS RUM***,***RXS RUM***,,0.00,,,,
0.00 63000,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63001,Cuervo,Cuervo,,0.00,,,,
0.00 63002,Alto's Silver,Altos Silver,,0.00,,,,
0.00 63003,Alto's Repo,Altos Repo,,0.00,,,,
0.00 63004,Corralejo S,Corralejo S,,0.00,,,,
0.00 63005,Corralejo R,Corralejo R,,0.00,,,,
0.00 63006,Corralejo A,Corralejo A,,20.00,,,,
20.00 63007,Casa Noble,Casa Noble,,0.00,,,,
0.00 63008,Hornito's S,Hornito's S,,0.00,,,,
0.00 63009,Mi Campo S,Mi Campo S,,0.00,,,,
0.00 63010,Mi Campo R,Mi Campo R,,0.00,,,,
0.00 63011,Camerena S,Camerena S,,0.00,,,,
0.00 63012,Camerena R,Camerena R,,0.00,,,,
0.00 63013,Cazadores R,Cazadores R,,0.00,,,,
0.00 63014,Espolon S,Espolon S,,0.00,,,,
0.00 63015,Espolon R,Espolon R,,0.00,,,,
0.00 63016,Herradura A,Herradura A,,0.00,,,,
0.00 63017,Suaza Tres,Suaza Tres,,0.00,,,,
0.00 63018,Patron S,Patron S,,28.00,,,,
28.00 63019,Patron R,Patron R,,0.00,,,,
0.00 63020,Patron A,Patron A,,0.00,,,,
0.00 63021,Patron GP,Patron GP,,0.00,,,,
0.00 63022,Casa Silver,Casa Silver,,0.00,,,,
0.00 63023,Casa Rep,Casa Rep,,0.00,,,,
0.00 63024,Casa Anejo,Casa Anejo,,0.00,,,,
0.00 63025,Dobel Dia,Dobel Dia,,0.00,,,,
0.00 63026,Maestro S,Maestro S,,0.00,,,,
0.00 63027,Maestro R,Maestro R,,0.00,,,,
0.00 63028,Maestro A,Maestro A,,0.00,,,,
0.00 63029,Milagro S,Milagro S,,8.00,,,,
8.00 63030,Milagro R,Milagro R,,0.00,,,,
0.00 63031,Milagro FO,Milagro FO,,0.00,,,,
0.00 63032,Cuervo Rsrv,Cuervo Rsrv,,0.00,,,,
0.00 63033,Don Julio,Don Julio,,0.00,,,,
0.00 63034,1800 Anejo,1800 Anejo,,0.00,,,,
0.00 63035,Del Maguey,Del Maguey,,0.00,,,,
0.00 63036,Illegal,Illegal,,0.00,,,,
0.00 63037,Well Tequila,Well Tequila,,0.00,,,,
0.00 63038,Cazadores S,Cazadores S,,0.00,,,,
0.00 63039,S-Clase Plata,S-Clase Plata,,0.00,,,,
0.00 63040,S-Clase Repo,S-Clase Repo,,0.00,,,,
0.00 63041,Exotico S,EXOTICO S,,0.00,,,,
0.00 63042,Teremana S,TEREMANA S,,0.00,,,,
0.00 63043,Cazadores A,CAZADORES A,,0.00,,,,
0.00 63044,S Creyente,S CREYENTE,,0.00,,,,
0.00 63045,Illegal Repo,ILLEGAL REPO,,0.00,,,,
0.00 63046,Illegal Anejo,ILLEGAL ANEJO,,0.00,,,,
0.00 63047,Casamigos M,CASAMIGOS M,,0.00,,,,
0.00 63048,1800 Silver,1800 Silver,,0.00,,,,
0.00 63049,1800 Repo,1800 Repo,,0.00,,,,
0.00 63050,1800 Cristal,1800 Cristal,,0.00,,,,
0.00 63051,Dos Primos S,Dos Primos S,,0.00,,,,
0.00 63052,Dos Primos Rep,Dos Primos Rep,,0.00,,,,
0.00 63053,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63054,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63055,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63056,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63057,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63058,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63059,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63060,***TEQUILA***,***TEQUILA***,,0.00,,,,
0.00 63100,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63101,D-Cuervo,D-Cuervo,,0.00,,,,
0.00 63102,D-Alto's S,D-Alto's S,,0.00,,,,
0.00 63103,D-Alto's R,D-Alto's R,,0.00,,,,
0.00 63104,D-Corralejo S,D-Corralejo S,,0.00,,,,
0.00 63105,D-Corralejo R,D-Corralejo R,,0.00,,,,
0.00 63106,D-Corralejo A,D-Corralejo A,,0.00,,,,
0.00 63107,D-Casa S,D-Casa S,,0.00,,,,
0.00 63108,D-Hornito's S,D-Hornito's S,,0.00,,,,
0.00 63109,D-Mi Campo S,D-Mi Campo S,,0.00,,,,
0.00 63110,D-Mi Campo R,D-Mi Campo R,,0.00,,,,
0.00 63111,D-Camerena S,D-Camerena S,,0.00,,,,
0.00 63112,D-Camerena R,D-Camerena R,,0.00,,,,
0.00 63113,D-Cazadores R,D-Cazadores R,,0.00,,,,
0.00 63114,D-Espolon S,D-Espolon S,,0.00,,,,
0.00 63115,D-Espolon R,D-Espolon R,,0.00,,,,
0.00 63116,D-Herradura A,D-Herradura A,,0.00,,,,
0.00 63117,D-Suaza Tres,D-Suaza Tres,,0.00,,,,
0.00 63118,D-Patron S,D-Patron S,,0.00,,,,
0.00 63119,D-Patron R,D-Patron R,,0.00,,,,
0.00 63120,D-Patron A,D-Patron A,,0.00,,,,
0.00 63121,D-Patron GP,D-Patron GP,,0.00,,,,
0.00 63122,D- Casa Silver,D- Casa Silver,,0.00,,,,
0.00 63123,D- Casa Rep,D- Casa Rep,,0.00,,,,
0.00 63124,D- Casa Anejo,D- Casa Anejo,,0.00,,,,
0.00 63125,D-Dobel,D-Dobel,,0.00,,,,
0.00 63126,D-Maestro S,D-Maestro S,,0.00,,,,
0.00 63127,D-Maestro R,D-Maestro R,,0.00,,,,
0.00 63128,D-Maestro A,D-Maestro A,,0.00,,,,
0.00 63129,D-Milagro S,D-Milagro S,,0.00,,,,
0.00 63130,D-Milagro R,D-Milagro R,,0.00,,,,
0.00 63131,D-Milagro FO,D-Milagro FO,,0.00,,,,
0.00 63132,D-Cuervo Rsrv,D-Cuervo Rsrv,,0.00,,,,
0.00 63133,D-Don Julio,D-Don Julio,,0.00,,,,
0.00 63134,D-1800 A,D-1800 A,,0.00,,,,
0.00 63135,D-Del Maguey,D-Del Maguey,,0.00,,,,
0.00 63136,D-Illegal,D-Illegal,,0.00,,,,
0.00 63137,D-Well Tequila,D-Well Tequila,,0.00,,,,
0.00 63138,D-Cazadores S,D-Cazadores S,,0.00,,,,
0.00 63139,D-Clase Plata,D-CLASE PLATA,,0.00,,,,
0.00 63140,D-Clase Repo,D-CLASE REPO,,0.00,,,,
0.00 63141,D-Exotico S,D-EXOTICO S,,0.00,,,,
0.00 63142,D-Teremana S,D-TEREMANA S,,0.00,,,,
0.00 63143,D-Cazadores A,D-CAZADORES A,,0.00,,,,
0.00 63144,D-Creyente,D-CREYENTE,,0.00,,,,
0.00 63145,D-Illegal Repo,D-ILLEGAL REPO,,0.00,,,,
0.00 63146,D-Illegal Anejo,D-ILLEGAL ANEJO,,0.00,,,,
0.00 63147,D-Casamigos M,D-CASAMIGOS M,,0.00,,,,
0.00 63148,Dbl1800Silver,Dbl1800Silver,,0.00,,,,
0.00 63149,Dbl1800Repo,Dbl1800Repo,,0.00,,,,
0.00 63150,Dbl1800Cristal,Dbl1800Cristal,,0.00,,,,
0.00 63151,Dbl Dos PrimosS,Dbl Dos PrimosS,,0.00,,,,
0.00 63152,Dbl Dos PrimosR,Dbl Dos PrimosR,,0.00,,,,
0.00 63153,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63154,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63155,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63156,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63157,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63158,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63159,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63160,***DBL TEQUILA*,***DBL TEQUILA*,,0.00,,,,
0.00 63200,***RXS TEQUILA*,***RXS TEQUILA*,,0.00,,,,
0.00 63201,R-Cuervo,R-Cuervo,,0.00,,,,
0.00 63202,R-Alto's S,R-Alto's S,,0.00,,,,
0.00 63203,R-Alto's R,R-Alto's R,,0.00,,,,
0.00 63204,R-Corralejo S,R-Corralejo S,,0.00,,,,
0.00 63205,R-Corralejo R,R-Corralejo R,,0.00,,,,
0.00 63206,R-Corralejo A,R-Corralejo A,,0.00,,,,
0.00 63207,R-Casa S,R-Casa S,,0.00,,,,
0.00 63208,R-Hornito's S,R-Hornito's S,,0.00,,,,
0.00 63209,R-Mi Campo S,R-Mi Campo S,,0.00,,,,
0.00 63210,R-Mi Campo R,R-Mi Campo R,,0.00,,,,
0.00 63211,R-Camerena S,R-Camerena S,,0.00,,,,
0.00 63212,R-Camerena R,R-Camerena R,,0.00,,,,
0.00 63213,R-Cazadores R,R-Cazadores R,,0.00,,,,
0.00 63214,R-Espolon S,R-Espolon S,,0.00,,,,
0.00 63215,R-Espolon R,R-Espolon R,,0.00,,,,
0.00 63216,R-Herradura A,R-Herradura A,,0.00,,,,
0.00 63217,R-Suaza Tres,R-Suaza Tres,,0.00,,,,
0.00 63218,R-Patron S,R-Patron S,,0.00,,,,
0.00 63219,R-Patron R,R-Patron R,,0.00,,,,
0.00 63220,R-Patron A,R-Patron A,,0.00,,,,
0.00 63221,R-Patron GP,R-Patron GP,,0.00,,,,
0.00 63222,R- Casa Silver,R-Casa Silver,,0.00,,,,
0.00 63223,R-Casa Rep,R-Casa Rep,,0.00,,,,
0.00 63224,R-Casa Anejo,R- Casa Anejo,,0.00,,,,
0.00 63225,R-Dobel,R-Dobel,,0.00,,,,
0.00 63226,R-Maestro S,R-Maestro S,,0.00,,,,
0.00 63227,R-Maestro R,R-Maestro R,,0.00,,,,
0.00 63228,R-Maestro A,R-Maestro A,,0.00,,,,
0.00 63229,R-Milagro S,R-Milagro S,,0.00,,,,
0.00 63230,R-Milagro R,R-Milagro R,,0.00,,,,
0.00 63231,R-Milagro FO,R-Milagro FO,,0.00,,,,
0.00 63232,R-Cuervo Rsrv,R-Cuervo Rsrv,,0.00,,,,
